subject #,segment #,_dbrain_18cluster_LORB,_dbrain_18cluster_RORB,_dbrain_18cluster_LP,_dbrain_18cluster_RP,_dbrain_18cluster_LIF,_dbrain_18cluster_RIF,_dbrain_18cluster_LPF,_dbrain_18cluster_RPF,_dbrain_18cluster_LT,_dbrain_18cluster_RT,_dbrain_18cluster_LIT,_dbrain_18cluster_RIT,_dbrain_18cluster_LTP,_dbrain_18cluster_RTP,_dbrain_18cluster_LO,_dbrain_18cluster_RO,_dbrain_18cluster_LIO,_dbrain_18cluster_RIO
00315,Segment 1,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥
00315,Segment 2,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥
00315,Segment 3,-0.77310,-0.29896,0.99407,0.50146,-2.45044,4.12809,3.82148,3.07023,-0.07163,0.05381,-4.24640,0.07461,-1.78214,-2.48094,-0.94406,-1.29048,-5.10177,-1.91966
00315,Segment 4,-1.68240,0.61006,2.59463,3.31646,-4.03989,-5.72266,0.76890,0.97246,0.60866,-0.35347,-2.16164,-4.75072,-0.16147,-1.31612,2.29204,2.03729,0.39149,-0.45333
00315,Segment 5,-3.87957,-3.96582,2.96973,4.66462,-1.73985,-0.76668,0.50169,0.28779,1.19975,0.69575,-4.04078,-2.48729,-0.64926,1.45525,-0.22377,1.94074,-3.78087,-1.61068
00315,Segment 6,3.22817,3.07185,2.53271,1.23561,-3.48951,-4.38555,3.90510,3.89760,0.85986,0.77545,-1.49111,-6.03976,-0.36482,-3.01701,-1.94303,-3.20344,-2.87557,-4.94321
00315,Segment 7,4.45607,1.47142,-5.68339,-7.14136,13.24793,11.56068,-1.17313,-4.48588,3.99461,-3.15525,5.66873,4.11905,-0.89433,-2.03334,-3.54005,-4.25609,-1.09012,0.19610
00315,Segment 8,0.93508,-3.13757,-1.63267,-3.09970,4.24511,3.79458,-2.11948,-4.26584,3.20043,-0.38032,0.90412,3.07236,0.41443,0.96651,-0.01589,-0.86141,6.47514,2.56373
00315,Segment 9,-2.97581,-3.44550,4.39647,2.06639,-1.01751,1.92371,0.99300,-1.04471,0.33573,-3.02459,-2.09828,0.76742,-1.88147,1.15254,0.44266,1.05359,-3.21044,-0.18947
00315,Segment 10,-1.68035,0.90483,4.57880,2.13655,-4.54782,-2.37453,4.32984,3.99199,-1.52731,-2.61678,-5.64376,0.20847,-1.25609,-0.98223,0.19154,0.14028,-5.98386,-2.40636
00315,Segment 11,1.61839,1.04599,2.25089,2.13546,-2.42264,-1.01871,3.71531,2.33302,2.12310,1.57831,-4.57556,-1.05195,-2.49782,-1.38757,-2.44229,-2.57561,-8.80603,-5.78505
00315,Segment 12,3.70809,1.21581,0.80748,-1.95788,0.14023,-5.07835,2.50817,-0.00861,2.80248,0.73582,0.85158,-1.60112,0.60384,-2.54638,-0.13961,-2.03018,-0.59745,-2.43458
00315,Segment 13,-2.13919,0.93193,-6.67430,-3.03113,2.27801,4.48687,-4.35665,-0.55195,-0.18439,5.84951,5.82974,2.44817,1.36296,2.45478,-0.58398,-0.34383,2.63402,2.63123
00315,Segment 14,-1.98567,-0.45483,-0.76005,1.30022,-0.40925,3.37592,-1.95087,-0.25090,-0.47479,4.20806,-3.28141,2.65569,-2.37944,2.62194,-0.54572,1.22431,-5.99318,-1.66342
00315,Segment 15,-4.38985,-4.04034,1.76396,2.34938,-1.76349,-4.58013,-2.95440,-1.07464,-1.59294,-0.52650,2.66992,-1.08039,2.98134,1.85075,4.91040,4.19391,0.71809,3.40117
00315,Segment 16,4.31310,0.03760,5.18220,2.41094,-4.53125,-10.83798,8.27274,2.83083,3.36441,-3.14773,-0.73428,-7.37921,0.33052,-4.62818,-0.31156,-2.78455,-3.62805,-4.31647
00315,Segment 17,-0.94261,-1.33078,-1.04553,-0.39502,1.07189,1.21658,-1.10101,-3.47736,3.46985,0.26685,4.04678,-0.41775,1.15394,2.21495,-1.16470,-0.65355,0.41356,0.94593
00315,Segment 18,-2.61111,1.13640,1.12412,0.08744,-4.28041,0.98789,-0.25290,0.32557,-0.25341,1.08982,-2.98236,2.88604,-0.85659,2.32761,-0.21841,1.74437,-2.33768,0.05377
00315,Segment 19,-5.33024,-6.62743,-2.17190,-1.42444,5.71676,1.86141,-4.57637,-5.99810,4.27445,2.65442,6.76056,2.00445,4.70440,3.40954,1.46881,-0.08553,2.97112,3.49209
00315,Segment 20,0.37889,-0.44158,-2.41297,-0.98864,4.19113,6.31554,-2.47166,-2.27496,0.86696,1.89794,-0.27042,5.54634,-2.23464,1.24815,-1.92423,-0.55232,-3.60149,-1.91889
00315,Segment 21,-4.50979,-3.94505,-0.39927,0.50682,2.02696,-2.41390,-1.80473,-3.53006,2.26938,1.31135,5.44766,-0.36102,3.11117,1.42646,2.04245,0.76923,3.31999,1.12736
00315,Segment 22,7.97290,-0.27308,-2.53763,-6.26066,7.21886,1.96283,1.94561,-4.29127,3.98844,-4.56971,3.43385,4.48355,0.36416,-1.04311,-2.11476,-2.48786,0.73325,0.73844
00315,Segment 23,-0.22060,3.68697,1.30658,0.92358,2.06095,1.80404,2.95053,3.76596,1.83216,2.09375,-2.70895,-6.49111,-4.95826,-2.54192,-4.19383,-3.52261,-6.24127,-3.49194
00315,Segment 24,-1.99440,-0.82486,0.94836,1.66614,0.06466,0.79447,-0.74712,1.07600,1.54497,0.18526,0.18597,0.99934,-1.54813,-0.13499,-2.06401,-0.99652,-0.05988,-1.90813
00315,Segment 25,-5.88351,-11.47238,4.90691,1.81759,-0.35127,-1.12354,-3.47607,-7.25364,2.47338,-1.19960,2.31425,5.43862,2.05236,3.91020,4.19106,3.59732,5.95741,1.21141
00315,Segment 26,0.69113,-0.26238,2.55677,-0.12791,-6.02116,-2.10830,0.40135,-1.51385,-1.17472,-1.65751,-0.97794,1.48394,1.61943,0.55946,1.57284,1.58624,4.35233,2.39947
00315,Segment 27,-1.29726,-3.90759,1.25303,-0.58532,0.89633,1.93692,2.79840,0.21236,1.67348,-0.86591,-0.50547,0.09961,-0.49684,0.41179,-1.58316,-0.49027,-2.40374,1.38514
00315,Segment 28,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥
00315,Segment 29,-3.30142,1.76690,-1.15828,1.34333,-1.44240,0.82756,0.14033,3.58234,-1.63299,3.66966,-1.80580,1.74768,-1.43451,1.55358,-2.16742,-1.05484,-1.94280,-1.85914
00315,Segment 30,-4.59340,0.34525,0.57593,3.19728,-3.74198,-5.86572,-0.56233,1.91234,-0.13019,0.59753,-2.44169,-2.94153,0.25671,3.72799,1.33720,2.98940,1.51130,2.52353
00315,Segment 31,3.01302,3.13312,2.32035,2.75065,-2.73899,0.66061,3.50471,3.72440,0.77884,2.58580,-7.19647,-4.42137,-5.19585,-0.81113,-4.36514,-2.80008,-7.96507,-4.97106
00315,Segment 32,-6.37289,-6.13787,0.21715,0.13587,1.03462,-3.05105,-5.92980,-5.32612,0.97031,0.65443,2.57749,2.01140,4.73580,3.99764,5.81049,5.86207,6.82564,4.44734
00315,Segment 33,3.88933,3.20088,-1.51129,-1.67110,-0.18840,-1.53487,4.49729,1.76341,1.80402,-0.76225,-0.73399,-3.61563,-1.36424,-0.95854,-2.15194,-2.05333,1.13180,-1.88312
00315,Segment 34,2.85169,2.86899,0.56875,0.64983,0.25051,-1.14271,2.00436,2.19287,0.80135,1.39878,-2.21203,-4.63876,-2.56045,-2.80333,-1.17085,-2.28215,-3.08620,-3.12347
00315,Segment 35,-2.16749,-1.98731,-1.86404,-0.04480,2.79177,4.76254,-0.73673,-1.37444,0.34414,2.26572,-0.27811,2.82634,-1.43346,1.56251,-0.85992,0.47876,-1.80258,-1.80121
